"#","Reference","Qty","Value","Footprint","DNP"
"1","Behav_555, Brain_555, Strobe_555","3","TLC555xD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"2","Behav_Timing1, Brain_Timing1, Strobe_Timing1","3","0-10k","Potentiometer_SMD:Potentiometer_Bourns_3314J_Vertical",""
"3","Behav_Timing_C1, Brain_Timing_C1, Strobe_Timing_C1","3","2.2uF","Capacitor_SMD:C_0805_2012Metric",""
"4","Behavior1, Behavior2, Behavior3, Behavior4, Behavior5, Behavior6, Brain1, Brain2, Strobing1, Strobing2","10","Conn_01x02_Socket","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",""
"5","C1, C2, C3","3","10 nF","Capacitor_SMD:C_0603_1608Metric",""
"6","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_2.2mm_M2",""
"7","Output_Voltage1","1","10k","Potentiometer_SMD:Potentiometer_Bourns_3314J_Vertical",""
"8","Power_In1, WidthControlSignal1","2","Conn_01x03_Socket","Connector_JST:JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical",""
"9","R1, R5, R6","3","32k","Resistor_SMD:R_0402_1005Metric",""
"10","R2","1","10k","Resistor_SMD:R_0402_1005Metric",""
"11","R3, R4","2","20k","Resistor_SMD:R_0402_1005Metric",""
"12","SW1","1","SW_DIP_x03","Button_Switch_SMD:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W8.61mm_P2.54mm",""
"13","U1, U2, U9","3","OPA2333xxD","Package_SO:TSSOP-8_3x3mm_P0.65mm",""
"14","U7","1","74LVC2G74","Package_SO:SSOP-8_2.95x2.8mm_P0.65mm",""
"15","U8","1","74AHC2G00","Package_SO:VSSOP-8_2.3x2mm_P0.5mm",""
