"#","Reference","Qty","Value","Footprint","DNP"
"1","Behav_555, Brain_555, Strobe_555","3","TLC555xD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"2","Behav_Filter_C1, Brain_Filter_C1, Strobe_Filter_C1","3","10 pF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"3","Behav_Filter_R1, Brain_Filter_R1, Strobe_Filter_R1","3","32k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"4","Behav_Timing1, Brain_Timing1, Strobe_Timing1","3","0-10k","Potentiometer_SMD:Potentiometer_ACP_CA9-VSMD_Vertical",""
"5","Behav_Timing_C1, Brain_Timing_C1, Strobe_Timing_C1","3","1.7u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"6","Behavior1, Behavior2, Behavior3, Behavior4, Behavior5, Behavior6, Brain1, Brain2, Strobing1, Strobing2","10","Conn_01x02_Socket","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",""
"8","In_Buffer_Behav1, In_Buffer_Brain1, In_Buffer_Strobe1","3","OPA333xxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"9","Output_Voltage1","1","10k","Potentiometer_SMD:Potentiometer_ACP_CA9-VSMD_Vertical",""
"10","Power_In1, WidthControlSignal1","2","Conn_01x03_Socket","Connector_JST:JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical",""
"11","R2","1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","R3, R4","2","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","SW_Behav1, SW_Brain1, SW_Strobe1","3","SW_DIP_x01","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm",""
"14","U7","1","74LVC2G74","Package_SO:SSOP-8_2.95x2.8mm_P0.65mm",""
"15","U8","1","74AHC2G00","Package_SO:VSSOP-8_2.3x2mm_P0.5mm",""
"16","U9","1","OPA2333xxD","Package_DIP:DIP-8_W7.62mm_SMDSocket_SmallPads",""
