Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SM4007,D_MELF,97.663,-45.371,180,top
D2,SM4007,D_MELF,97.536,-50.197,180,top
D3,SM4007,D_MELF,97.396,-54.007,180,top
D4,SM4007,D_MELF,97.409,-57.69,180,top
J1,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Vertical,81.28,-44.624,0,top
J2,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Vertical,103.632,-62.389,180,top
Q1,2N7002,SOT-23,91.6455,-50.324,0,top
Q2,2N7002,SOT-23,91.6455,-53.88,0,top
Q3,2N7002,SOT-23,91.6455,-57.563,0,top
Q4,2N7002,SOT-23,92.1535,-45.625,0,top
R1,1k,R_0603_1608Metric,84.773,-47.149,0,top
R2,1k,R_0603_1608Metric,84.773,-49.689,0,top
R3,1k,R_0603_1608Metric,84.773,-52.229,0,top
R4,1k,R_0603_1608Metric,84.773,-54.769,0,top
R5,33k,R_0603_1608Metric,87.948,-48.419,0,top
R6,33k,R_0603_1608Metric,87.884,-51.086,0,top
R7,33k,R_0603_1608Metric,87.884,-53.626,0,top
R8,33k,R_0603_1608Metric,87.948,-46.006,0,top
